f / Hz,I / mA,phi / °,UR / V,ULC / V
727.5,8.737,-0.1,0.882,0.167
436.8,2.064,-83.1,0.207,0.977
508.2,2.806,-72.3,0.272,0.944
581.6,4.193,-64,0.411,0.864
654,6.842,-39.9,0.676,0.681
799.8,6.988,36.7,0.692,0.61
873,5.03,54,0.501,0.835
945.9,3.691,63.3,0.362,0.89
1017.4,3.045,66.8,0.302,0.944
1089.6,2.546,74.3,0.253,0.962
1162.8,2.149,74.1,0.208,0.957
1455.4,1.4582,82.9,0.146,0.984
3029,0.5597,88.5,0.0556,1
5095,0.3186,89.8,0.037,1
7266.8,0.216,90,0.02,1
642,6.266,-44,0.621,0.7
822,6.309,44.8,0.625,0.702
702.4,8.52,-13.4,0.843,0.279
750.9,8.552,16.5,0.848,0.272
364.6,1.42,-76.4,0.139,0.991
72.2,0.211,-81.2,0.021,0.998
